,county_name,county_fips,geoid,tot_fam_acs18,tot_fam_moe_acs18,tot_fam_acs13,tot_fam_moe_acs13,pop_spfam_acs18,pop_spfam_acs13,male_hh_child_acs18,male_hh_child_moe_acs18,male_hh_child_acs13,male_hh_child_moe_acs13,female_hh_child_acs18,female_hh_child_moe_acs18,female_hh_child_acs13,female_hh_child_moe_acs13,pct_spfam_acs18,pct_spfam_acs13,moe_over_est_acs18,moe_over_est_acs13
75,San Mateo,081,06081609603,1476,129,1472,130,158,0,54,49,0,17,104,62,0,17,0.1070460704607046,0.0,0,1
76,San Mateo,081,06081611900,1946,225,1809,159,326,385,68,78,71,56,258,143,314,106,0.16752312435765673,0.21282476506357104,1,0
77,San Mateo,081,06081612800,931,84,920,74,34,50,23,21,41,36,11,17,9,15,0.036519871106337275,0.05434782608695652,1,1
78,San Mateo,081,06081601800,1847,109,1548,99,141,153,26,40,3,7,115,67,150,61,0.07634001082837033,0.09883720930232558,1,1
79,San Mateo,081,06081600800,1509,235,1318,206,286,157,62,61,74,84,224,116,83,86,0.1895294897282969,0.11911987860394538,0,1
80,San Mateo,081,06081601200,1607,166,1398,160,73,124,0,17,34,32,73,61,90,56,0.04542626011200996,0.08869814020028613,1,0
81,San Mateo,081,06081602600,2128,164,1957,166,197,173,105,90,37,35,92,66,136,69,0.09257518796992481,0.08840061318344404,0,0
82,San Mateo,081,06081603100,924,76,880,84,99,43,65,50,10,16,34,50,33,38,0.10714285714285714,0.048863636363636366,1,1
83,San Mateo,081,06081604500,988,79,910,92,42,58,20,24,28,30,22,22,30,30,0.04251012145748988,0.06373626373626373,1,1
84,San Mateo,081,06081606000,1136,182,1124,165,219,116,97,100,30,37,122,96,86,55,0.19278169014084506,0.10320284697508897,1,1
85,San Mateo,081,06081606700,700,58,691,59,28,22,23,18,0,12,5,9,22,24,0.04,0.03183791606367583,1,1
86,San Mateo,081,06081607000,1053,104,896,99,59,39,10,17,6,10,49,30,33,27,0.0560303893637227,0.04352678571428571,1,1
87,San Mateo,081,06081607100,884,78,796,93,83,73,34,31,8,12,49,34,65,43,0.09389140271493213,0.09170854271356783,0,1
88,San Mateo,081,06081607500,1533,114,994,104,190,92,45,35,23,33,145,60,69,55,0.12393998695368558,0.0925553319919517,0,1
89,Alameda,001,06001441501,1657,71,1768,65,86,88,34,29,12,19,52,47,76,64,0.05190102595051298,0.049773755656108594,0,1
90,Alameda,001,06001404700,591,42,539,60,21,33,5,8,7,10,16,14,26,25,0.03553299492385787,0.061224489795918366,1,1
91,Alameda,001,06001442500,1923,145,1687,170,252,174,61,102,70,77,191,130,104,81,0.1310452418096724,0.10314167160640189,1,1
92,Alameda,001,06001450300,1409,104,1227,99,183,160,44,46,35,30,139,101,125,70,0.12987934705464868,0.13039934800325997,1,0
93,Alameda,001,06001450607,1541,173,1114,131,147,150,30,34,89,64,117,77,61,48,0.0953926022063595,0.13464991023339318,1,0
94,Alameda,001,06001404900,1002,98,1030,120,159,156,27,24,7,11,132,78,149,75,0.15868263473053892,0.15145631067961166,0,1
95,Alameda,001,06001405200,958,156,1034,149,18,108,7,13,9,16,11,19,99,77,0.018789144050104383,0.10444874274661509,1,1
96,Alameda,001,06001406300,948,101,881,116,277,305,41,35,66,62,236,112,239,104,0.2921940928270042,0.34619750283768447,0,0
97,Alameda,001,06001400100,917,88,792,83,70,21,39,44,12,18,31,30,9,14,0.07633587786259542,0.026515151515151516,1,1
98,Alameda,001,06001400800,697,160,660,129,143,137,74,74,25,38,69,53,112,73,0.20516499282639886,0.20757575757575758,0,1
99,Alameda,001,06001401000,1159,204,1033,196,366,275,83,72,45,40,283,150,230,113,0.3157894736842105,0.26621490803484993,0,0
100,Santa Clara,085,06085503312,903,65,910,74,90,102,69,55,20,29,21,19,82,61,0.09966777408637874,0.11208791208791209,0,1
101,Santa Clara,085,06085503402,1071,86,1006,82,282,243,53,38,111,73,229,85,132,75,0.26330532212885155,0.2415506958250497,0,0
102,Santa Clara,085,06085503506,1176,68,1136,81,294,87,94,57,24,28,200,85,63,46,0.25,0.07658450704225352,0,1
103,Napa,055,06055201200,1321,128,1232,166,28,127,0,12,21,33,28,25,106,76,0.021196063588190765,0.10308441558441558,1,1
104,San Francisco,075,06075042800,703,61,743,64,47,86,0,12,29,23,47,36,57,35,0.06685633001422475,0.11574697173620457,1,0
105,San Francisco,075,06075023400,752,100,690,108,233,212,25,26,36,50,208,92,176,94,0.3098404255319149,0.3072463768115942,1,1
106,San Francisco,075,06075016500,838,157,938,200,33,173,0,17,17,29,33,40,156,85,0.03937947494033413,0.18443496801705758,1,1
107,San Francisco,075,06075030700,2110,155,1756,188,150,105,89,66,0,17,61,49,105,65,0.07109004739336493,0.05979498861047836,0,1
108,San Francisco,075,06075035100,2040,187,1720,179,232,159,106,72,38,43,126,77,121,76,0.11372549019607843,0.09244186046511628,0,1
109,San Francisco,075,06075013000,656,139,768,183,17,0,0,12,0,12,17,30,0,12,0.025914634146341462,0.0,1,1
110,San Francisco,075,06075026002,706,72,735,80,94,114,6,10,5,9,88,41,109,68,0.13314447592067988,0.15510204081632653,1,1
111,San Francisco,075,06075026402,897,100,889,121,141,114,21,22,52,51,120,58,62,70,0.15719063545150502,0.12823397075365578,1,1
112,San Francisco,075,06075030301,1254,157,1349,162,72,126,47,35,50,50,25,28,76,53,0.05741626794258373,0.09340252038547071,1,0
