geoid,state,county_fip,tract,tot_pop,tot_pop_po,tot_pop_ci,tot_hh,pop_zvhhs,tot_fam,tot_pop_ov,pop_hus_re,pop_minori,pop_over75,pop_spfam,pop_lep,pop_below2,pop_disabi,pct_minori,pct_over75,pct_spfam,pct_lep,pct_below2,pct_disab,pct_zvhhs,pct_hus_re,over75_1_2,minori_1_2,spfam_1_2,disab_1_2,lep_1_2,below2_1_2,zvhh_1_2,hus_re_1_2,coc_2035,coc_2040,coc_2050,c2040_2050,coc_class
06075015801,06,075,015801,4164,4114,4124,1800,603,835,3864,152,2534,250,210,212,1276,596,0.6085494716618636,0.060038424591738714,0.25149700598802394,0.054865424430641824,0.31016042780748665,0.14451988360814744,0.335,0.08444444444444445,0,0,1,1,0,1,1,0,0,0,1,1,Highest
06075015802,06,075,015802,3321,3321,3321,1586,622,461,3028,67,1223,87,0,25,458,355,0.368262571514604,0.026196928635953028,0.0,0.008256274768824307,0.1379102679915688,0.10689551339957844,0.3921815889029004,0.04224464060529634,0,0,0,0,0,0,1,0,0,0,0,0,NA
06075016801,06,075,016801,3746,3746,3727,1795,772,401,3640,292,1308,52,14,143,636,240,0.34917245061398827,0.013881473571809931,0.034912718204488775,0.039285714285714285,0.16978109983982914,0.06439495572846794,0.43008356545961,0.1626740947075209,0,0,0,0,0,0,1,1,0,0,0,0,NA
06075016802,06,075,016802,3642,3623,3623,1984,993,571,3480,248,1903,109,52,182,831,397,0.5225151015925316,0.029928610653487096,0.09106830122591944,0.052298850574712646,0.22936792713221088,0.1095776980402981,0.5005040322580645,0.125,0,0,0,0,0,0,1,0,0,0,0,0,NA
06075017101,06,075,017101,3888,3888,3870,1700,369,773,3750,91,957,117,46,0,309,215,0.24614197530864199,0.03009259259259259,0.059508408796895215,0.0,0.07947530864197531,0.05555555555555555,0.21705882352941178,0.05352941176470588,0,0,0,0,0,0,1,0,0,0,0,0,NA
06075017102,06,075,017102,3828,3805,3822,1658,495,837,3538,112,1171,155,24,73,525,165,0.3059038662486938,0.04049111807732497,0.02867383512544803,0.020633126059920858,0.13797634691195795,0.04317111459968603,0.2985524728588661,0.06755126658624849,0,0,0,0,0,0,1,0,0,0,0,0,NA
06075017801,06,075,017801,3654,3654,3654,2389,1698,833,3564,90,2525,1343,0,1322,1808,1244,0.6910235358511221,0.3675424192665572,0.0,0.37093153759820424,0.49480021893814996,0.3404488232074439,0.710757639179573,0.037672666387609875,1,0,0,1,1,1,1,0,1,1,1,0,Highest
06075017802,06,075,017802,5782,5771,5756,2535,1512,936,5582,507,3863,142,130,590,2746,952,0.6681079211345555,0.02455897613282601,0.1388888888888889,0.10569688283769259,0.4758274129267025,0.16539263377345378,0.5964497041420118,0.2,0,0,0,1,0,1,1,1,0,0,1,1,Highest
06075020401,06,075,020401,3260,3260,3260,1590,233,536,3165,95,984,92,11,11,349,319,0.301840490797546,0.02822085889570552,0.020522388059701493,0.0034755134281200632,0.10705521472392639,0.09785276073619632,0.14654088050314465,0.059748427672955975,0,0,0,0,0,0,0,0,0,0,0,0,NA
06075020402,06,075,020402,4675,4675,4675,2495,290,835,4540,195,1826,224,19,58,685,301,0.3905882352941176,0.047914438502673795,0.022754491017964073,0.01277533039647577,0.146524064171123,0.06438502673796792,0.11623246492985972,0.0781563126252505,0,0,0,0,0,0,0,0,0,0,0,0,NA
06075022704,06,075,022704,3297,3289,3297,1540,92,773,3060,32,971,230,53,38,387,219,0.294510160752199,0.06976038823172581,0.0685640362225097,0.01241830065359477,0.11766494375190027,0.06642402183803457,0.05974025974025974,0.02077922077922078,0,0,0,0,0,0,0,0,0,0,0,0,NA
06075025701,06,075,025701,5307,5282,5307,1458,127,1154,5141,95,4717,460,34,1026,860,461,0.8888260787638967,0.08667797248916526,0.029462738301559793,0.1995720676911107,0.1628171147292692,0.0868664028641417,0.08710562414266118,0.06515775034293553,1,1,0,0,1,0,0,0,0,0,0,0,NA
06075031301,06,075,031301,4510,4510,4503,1279,96,946,4382,63,3600,407,100,775,1452,523,0.7982261640798226,0.09024390243902439,0.10570824524312897,0.1768598813327248,0.32195121951219513,0.11614479236064845,0.07505863956215794,0.04925723221266615,1,1,0,0,1,1,0,0,0,0,1,1,Highest
06075025702,06,075,025702,4427,4422,4422,1248,339,1018,4233,118,4082,396,132,1451,1716,369,0.9220691213011069,0.08945109555003389,0.12966601178781925,0.3427828962910465,0.3880597014925373,0.08344640434192672,0.27163461538461536,0.09455128205128205,1,1,0,0,1,1,1,0,1,1,1,0,Highest
06075031201,06,075,031201,7251,7209,7219,2073,462,1364,6982,285,5896,417,144,1459,1805,592,0.8131292235553716,0.0575093090608192,0.10557184750733138,0.20896591234603265,0.250381467609932,0.08200581798032969,0.22286541244573083,0.13748191027496381,0,1,0,0,1,0,1,0,1,1,0,-1,NA
06075031202,06,075,031202,3515,3482,3515,909,177,634,3336,69,3238,190,93,871,1032,293,0.921194879089616,0.05405405405405406,0.14668769716088328,0.26109112709832133,0.2963813900057438,0.08335704125177809,0.19471947194719472,0.07590759075907591,0,1,0,0,1,1,1,0,0,0,1,1,Highest
06075031302,06,075,031302,6198,6167,6198,1972,168,1185,5898,170,5514,373,178,916,1565,682,0.8896418199419167,0.060180703452726685,0.150210970464135,0.15530688368938622,0.2537700664828928,0.11003549532107132,0.08519269776876268,0.08620689655172414,0,1,0,0,1,0,0,0,1,1,0,-1,NA
06075032601,06,075,032601,5404,5404,5404,1823,207,1071,5208,192,3890,263,111,562,1020,548,0.7198371576609919,0.048667653589933385,0.10364145658263306,0.10791090629800307,0.18874907475943745,0.10140636565507032,0.11354909489851893,0.10532089961601755,0,1,0,0,0,0,0,0,0,0,0,0,NA
06075032602,06,075,032602,4891,4891,4891,1817,302,1084,4687,244,3388,515,31,750,803,647,0.6927008791658148,0.1052954406051932,0.02859778597785978,0.16001706848730532,0.16417910447761194,0.13228378654671846,0.16620803522289487,0.13428728673637866,1,0,0,1,1,0,1,0,0,0,0,0,NA
06075032801,06,075,032801,4396,4258,4258,1469,114,897,4230,119,3356,572,32,881,557,418,0.7634212920837125,0.13011828935395814,0.03567447045707915,0.208274231678487,0.1308125880695162,0.09816815406294034,0.07760381211708646,0.08100748808713411,1,1,0,0,1,0,0,0,0,0,0,0,NA
06095250104,06,095,250104,2047,2021,2026,757,65,474,2003,112,1434,208,61,12,263,294,0.7005373717635565,0.10161211529066927,0.12869198312236288,0.005991013479780329,0.1301335972290945,0.14511352418558737,0.08586525759577279,0.14795244385733158,1,1,0,1,0,0,0,1,0,0,0,0,NA
06095250105,06,095,250105,6784,6756,6770,2337,27,1896,6491,236,5384,469,331,305,1123,680,0.7936320754716981,0.06913325471698113,0.17457805907172996,0.046988137421044525,0.1662226169330965,0.10044313146233383,0.011553273427471117,0.10098416773641421,0,1,0,0,0,0,0,0,0,0,0,0,NA
06095250106,06,095,250106,4802,4781,4781,1407,9,1245,4429,42,3686,355,172,160,678,507,0.7675968346522283,0.07392753019575177,0.13815261044176708,0.03612553623842854,0.1418113365404727,0.10604476051035348,0.006396588486140725,0.029850746268656716,0,1,0,0,0,0,0,0,0,0,0,0,NA
06095250604,06,095,250604,3862,3858,3862,1422,28,971,3709,78,2585,113,164,39,636,358,0.6693423096841015,0.0292594510616261,0.16889804325437693,0.010514963602049069,0.16485225505443235,0.09269808389435526,0.01969057665260197,0.05485232067510549,0,0,0,0,0,0,0,0,0,0,0,0,NA
06095250605,06,095,250605,4130,4123,4094,1504,11,1128,3834,64,2983,158,141,181,1017,267,0.7222760290556901,0.038256658595641646,0.125,0.04720918101199791,0.2466650497210769,0.06521739130434782,0.007313829787234043,0.0425531914893617,0,1,0,0,0,0,0,0,0,0,0,0,NA
06095250801,06,095,250801,4073,3839,4063,1495,64,920,3876,185,2834,233,173,90,1063,572,0.6958016204272035,0.05720599067026762,0.18804347826086956,0.02321981424148607,0.2768950247460276,0.1407826729017967,0.04280936454849498,0.12374581939799331,0,0,1,1,0,0,0,0,0,0,0,0,NA
06095252310,06,095,252310,2941,2941,2941,1132,79,831,2810,139,1336,325,90,65,313,450,0.4542672560353621,0.11050663039782387,0.10830324909747292,0.023131672597864767,0.10642638558313498,0.15300918055083304,0.06978798586572438,0.12279151943462897,1,0,0,1,0,0,0,0,0,0,0,0,NA
06095252311,06,095,252311,4422,4412,4384,1533,9,1172,4125,31,2684,210,65,131,225,447,0.6069651741293532,0.04748982360922659,0.05546075085324232,0.031757575757575755,0.05099728014505893,0.10196167883211679,0.005870841487279843,0.020221787345075015,0,0,0,0,0,0,0,0,0,0,0,0,NA
06095252312,06,095,252312,4117,4094,4065,1380,45,1034,3807,169,2490,173,155,96,868,469,0.6048093271799855,0.04202088899684236,0.14990328820116053,0.0252167060677699,0.21201758671226184,0.11537515375153752,0.03260869565217391,0.12246376811594203,0,0,0,0,0,0,0,0,0,0,0,0,NA
06095252313,06,095,252313,5843,5768,5745,2306,164,1570,5382,256,3034,594,250,227,1413,947,0.5192538079753551,0.10166010610987507,0.1592356687898089,0.04217762913415087,0.24497226074895978,0.16483899042645778,0.07111882046834345,0.11101474414570685,1,0,0,1,0,0,0,0,0,0,0,0,NA
06095252314,06,095,252314,4466,4466,4466,1464,32,1133,4185,108,2880,247,249,157,916,547,0.6448723690103001,0.05530676220331393,0.21977052074139453,0.03751493428912784,0.2051052395879982,0.12248096730855351,0.02185792349726776,0.07377049180327869,0,0,1,1,0,0,0,0,0,0,0,0,NA
06095252315,06,095,252315,4741,4679,4695,1567,37,1279,4493,35,3228,277,82,150,375,606,0.6808690149757435,0.058426492301202275,0.06411258795934324,0.03338526596928555,0.08014533019876043,0.129073482428115,0.023611997447351627,0.022335673261008295,0,0,0,1,0,0,0,0,0,0,0,0,NA
06095252316,06,095,252316,3915,3892,3904,1185,5,864,3582,67,3243,193,119,148,828,591,0.828352490421456,0.04929757343550447,0.13773148148148148,0.0413176996091569,0.21274409044193218,0.15138319672131148,0.004219409282700422,0.056540084388185655,0,1,0,1,0,0,0,0,0,0,0,0,NA
06095252317,06,095,252317,8551,8286,8258,2265,17,2045,8110,69,6294,259,443,309,803,811,0.736054262659338,0.03028885510466612,0.21662591687041566,0.03810110974106042,0.09691045136374608,0.09820779849842577,0.0075055187637969095,0.030463576158940398,0,1,1,0,0,0,0,0,0,0,0,0,NA
06095252610,06,095,252610,3051,3051,3019,1036,17,782,2846,25,2143,185,152,152,679,454,0.7023926581448705,0.060635857096034085,0.19437340153452684,0.05340829234012649,0.2225499836119305,0.1503809208347135,0.016409266409266408,0.02413127413127413,0,1,1,1,0,0,0,0,0,0,0,0,NA
06095252611,06,095,252611,3700,3700,3691,1118,79,849,3449,207,3080,138,336,293,2150,536,0.8324324324324325,0.0372972972972973,0.3957597173144876,0.08495216004639025,0.581081081081081,0.14521809807640207,0.0706618962432916,0.1851520572450805,0,1,1,1,0,1,0,1,1,1,1,0,Highest
06095252801,06,095,252801,2998,2998,2301,864,0,850,2414,239,1330,0,102,13,868,132,0.44362908605737156,0.0,0.12,0.005385252692626346,0.2895263509006004,0.05736636245110821,0.0,0.27662037037037035,0,0,0,0,0,1,0,1,0,0,0,0,NA
06095252802,06,095,252802,924,591,468,205,0,180,832,60,418,0,44,0,112,0,0.4523809523809524,0.0,0.24444444444444444,0.0,0.1895093062605753,0.0,0.0,0.2926829268292683,0,0,1,0,0,0,0,1,0,0,0,0,NA
06095252911,06,095,252911,4668,4551,4536,2719,345,1134,4634,380,1083,1416,0,76,1094,1373,0.2320051413881748,0.3033419023136247,0.0,0.01640051791109193,0.24038672819160625,0.302689594356261,0.12688488414858404,0.13975726369988967,1,0,0,1,0,0,0,0,0,0,0,0,NA
06095252912,06,095,252912,5817,5803,5725,1888,34,1594,5532,110,2074,299,155,63,375,559,0.356541172425649,0.051401065841499054,0.0972396486825596,0.0113882863340564,0.06462174737204894,0.09764192139737991,0.018008474576271187,0.05826271186440678,0,0,0,0,0,0,0,0,0,0,0,0,NA
06095252913,06,095,252913,4927,4916,4871,1662,46,1322,4573,37,2269,231,102,54,494,698,0.46052364522021516,0.04688451390298356,0.07715582450832073,0.011808440848458342,0.10048820179007323,0.1432970642578526,0.027677496991576414,0.022262334536702767,0,0,0,1,0,0,0,0,0,0,0,0,NA
06095252914,06,095,252914,5892,5870,5682,1920,12,1509,5614,143,3393,307,279,213,772,765,0.5758655804480651,0.05210454854039375,0.1848906560636183,0.03794086213038832,0.13151618398637138,0.13463569165786696,0.00625,0.07447916666666667,0,0,1,1,0,0,0,0,0,0,0,0,NA
06095252915,06,095,252915,4867,4867,4770,1489,13,1258,4664,49,2858,185,126,176,725,244,0.5872200534209986,0.03801109513047052,0.10015898251192369,0.03773584905660377,0.1489623998356277,0.05115303983228511,0.008730691739422432,0.03290799194089993,0,0,0,0,0,0,0,0,0,0,0,0,NA
06095253204,06,095,253204,7601,7601,7561,2482,238,1923,7122,307,4663,273,361,520,2647,794,0.6134719115905802,0.03591632679910538,0.187727509100364,0.07301319853973604,0.34824365215103276,0.10501256447559847,0.0958904109589041,0.12369057211925866,0,0,1,0,0,1,0,0,0,0,0,0,NA
06095253205,06,095,253205,3145,3135,3135,1010,38,824,2893,80,1439,149,168,190,901,282,0.4575516693163752,0.04737678855325914,0.20388349514563106,0.06567576909782233,0.2874003189792663,0.08995215311004785,0.03762376237623762,0.07920792079207921,0,0,1,0,0,1,0,0,0,0,0,0,NA
06095253206,06,095,253206,3162,3162,3084,1057,28,880,2917,66,1050,85,104,51,433,191,0.33206831119544594,0.026881720430107527,0.11818181818181818,0.01748371614672609,0.13693864642631245,0.061932555123216604,0.026490066225165563,0.06244087038789026,0,0,0,0,0,0,0,0,0,0,0,0,NA
06095253403,06,095,253403,4983,4983,4952,1558,47,1337,4832,25,2003,331,223,161,966,544,0.40196668673489866,0.06642584788280152,0.1667913238593867,0.033319536423841056,0.1938591210114389,0.1098546042003231,0.030166880616174584,0.016046213093709884,0,0,0,0,0,0,0,0,0,0,0,0,NA
06095253404,06,095,253404,7138,7138,7104,2211,31,1794,6557,205,3856,147,283,623,2302,627,0.5402073409918745,0.020594003922667414,0.15774804905239687,0.0950129632453866,0.3224992995236761,0.08826013513513513,0.014020805065581185,0.09271822704658525,0,0,0,0,0,1,0,0,0,0,0,0,NA
06095980000,06,095,980000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,NA
06097150203,06,097,150203,4906,4793,4793,2172,196,1203,4794,259,1076,686,143,182,780,1025,0.21932327761924175,0.13982878108438646,0.11886949293433084,0.03796412181894034,0.16273732526601292,0.2138535364072606,0.09023941068139964,0.11924493554327809,1,0,0,1,0,0,0,0,0,0,0,0,NA
06097150204,06,097,150204,3671,3541,3552,1690,93,913,3432,304,737,433,119,7,879,278,0.200762734949605,0.11795151184963225,0.1303395399780942,0.0020396270396270395,0.2482349618751765,0.07826576576576577,0.05502958579881657,0.17988165680473372,1,0,0,0,0,0,0,1,0,0,0,0,NA
06097150305,06,097,150305,6264,6189,6264,1823,31,1325,5824,288,4440,217,182,1023,2336,664,0.7088122605363985,0.034642401021711365,0.13735849056603774,0.17565247252747251,0.37744385199547587,0.10600255427841634,0.017004936917169502,0.15798134942402633,0,1,0,0,1,1,0,1,1,1,1,0,Highest
06097150306,06,097,150306,4078,4061,4078,1771,57,1018,3954,155,1623,464,132,277,999,429,0.39798921039725355,0.11378126532614026,0.12966601178781925,0.07005563985837127,0.2459985225313962,0.10519862677783227,0.032185206098249576,0.08752117447769622,1,0,0,0,0,0,0,0,0,0,0,0,NA
06097150607,06,097,150607,5275,5259,5267,1719,14,1382,4937,67,1491,245,83,244,394,290,0.28265402843601894,0.046445497630331754,0.060057887120115776,0.04942272635203565,0.07491918615706408,0.0550598063413708,0.008144269924374637,0.038976148923792905,0,0,0,0,0,0,0,0,0,0,0,0,NA
06097150609,06,097,150609,4886,4877,4844,2021,141,1192,4590,155,1782,605,127,427,1061,744,0.3647155137126484,0.12382316823577569,0.10654362416107382,0.09302832244008714,0.21755177363133074,0.15359207266721717,0.06976744186046512,0.07669470559129143,1,0,0,1,0,0,0,0,0,0,0,0,NA
06097150610,06,097,150610,3857,3857,3857,1329,25,1070,3611,136,1320,193,71,213,1015,301,0.3422348975887996,0.05003889032927145,0.06635514018691589,0.05898643035170313,0.2631578947368421,0.0780399274047187,0.018811136192626036,0.10233258088788563,0,0,0,0,0,0,0,0,0,0,0,0,NA
06075032802,06,075,032802,4355,4355,4355,1561,213,1023,4205,220,3238,304,109,412,710,328,0.7435132032146957,0.06980482204362802,0.10654936461388075,0.09797859690844234,0.16303099885189437,0.07531572904707233,0.1364509929532351,0.14093529788597053,0,1,0,0,0,0,0,1,0,0,0,0,NA
06075033204,06,075,033204,4806,4806,4799,1679,391,655,4715,650,3413,214,68,528,2541,424,0.710153974198918,0.04452767374115689,0.10381679389312977,0.111983032873807,0.5287141073657927,0.08835173994582204,0.2328767123287671,0.38713519952352593,0,1,0,0,0,1,1,1,0,0,1,1,Highest
06075032901,06,075,032901,5765,5709,5744,1740,151,1236,5468,88,4453,624,68,841,643,705,0.772419774501301,0.10823937554206418,0.05501618122977346,0.1538039502560351,0.11262918199334385,0.12273676880222842,0.0867816091954023,0.05057471264367816,1,1,0,1,1,0,0,0,0,0,0,0,NA
06075032902,06,075,032902,4211,4142,4211,1398,201,944,4033,86,3164,435,92,991,991,487,0.7513654713844693,0.10330087865115174,0.09745762711864407,0.2457227870071907,0.2392563978754225,0.11564948943243886,0.14377682403433475,0.06151645207439199,1,1,0,0,1,0,0,0,0,0,0,0,NA
06075033203,06,075,033203,3797,3797,3797,1550,455,656,3754,617,2167,153,81,266,1641,406,0.5707137213589676,0.04029496971293126,0.12347560975609756,0.07085775173148641,0.4321833026073216,0.1069265209375823,0.29354838709677417,0.39806451612903226,0,0,0,0,0,1,1,1,0,0,0,0,NA
