"","GEOID","STATE","COUNTY_FIPS","TRACT","TOT_POP_MIN","TOT_POP_SEN","TOT_POP_POV","TOT_POP_CIV_NI","TOT_HH","TOT_FAM_CHILD","TOT_POP_OVER5","TOT_RENT_OCC_HOUS","POP_MINORITY","POP_OVER75","POP_SPFAM","POP_LEP","POP_BELOW200","POP_DISABILITY","POP_HUS_RENT50","POP_ZVHHS","PCT_OVER75","PCT_MINORITY","PCT_SPFAM","PCT_LEP","PCT_BELOW200","PCT_DISAB","PCT_ZVHHS","PCT_HUS_RENT50","OVER75_10","MINORITY_70","SPFAM_20","DISAB_25","LEP_20","BELOW200_30","ZVHH_10","HUS_RENT50_15","Count_DisadFact","COC_FLAG"
"28","06001403300","06","001","403300",4159,4159,4159,4142,2158,358,4054,1672,316,313,443,1752,1859,588,1126,594,0.075258475595095,0.0759798028372205,1.23743016759777,0.432165762210163,0.446982447703775,0.141960405601159,0.275254865616311,0.673444976076555,0,0,1,0,1,1,1,1,5,1
"29","06001403400","06","001","403400",4360,4360,4337,4337,2746,239,4213,2470,376,546,258,765,1414,827,1955,1071,0.125229357798165,0.0862385321100917,1.07949790794979,0.181580821267505,0.326031819229882,0.19068480516486,0.390021849963583,0.791497975708502,1,0,1,0,0,1,1,1,5,1
"30","06001403501","06","001","403501",4435,4435,4359,4435,2583,322,4276,2255,533,394,396,937,1999,847,1764,858,0.0888387824126268,0.120180383314543,1.22981366459627,0.219130028063611,0.45859142005047,0.19098083427283,0.332171893147503,0.782261640798226,0,0,1,0,1,1,1,1,5,1
"31","06001403502","06","001","403502",2081,2081,2081,2081,1170,90,2016,903,172,40,78,136,508,216,710,120,0.0192215281114849,0.0826525708793849,0.866666666666667,0.0674603174603175,0.244113407015858,0.103796251802018,0.102564102564103,0.786267995570321,0,0,1,0,0,0,1,1,3,0
"32","06001403600","06","001","403600",4751,4751,4641,4641,2530,345,4455,2140,599,148,425,604,1373,315,1827,251,0.0311513365607241,0.126078720269417,1.23188405797101,0.135578002244669,0.295841413488472,0.0678733031674208,0.0992094861660079,0.853738317757009,0,0,1,0,0,0,0,1,2,0
"33","06001403701","06","001","403701",2755,2755,2716,2716,1683,153,2663,1472,290,357,199,210,673,276,1231,416,0.129582577132486,0.105263157894737,1.30065359477124,0.0788584303417199,0.24779086892489,0.101620029455081,0.247177658942365,0.836277173913043,1,0,1,0,0,0,1,1,4,0
"34","06001403702","06","001","403702",2027,2027,2027,2027,1123,106,1998,847,247,50,134,159,461,188,665,137,0.0246669955599408,0.121854958066108,1.26415094339623,0.0795795795795796,0.227429699062654,0.0927479033053774,0.121994657168299,0.785123966942149,0,0,1,0,0,0,1,1,3,0
"35","06001403800","06","001","403800",3323,3323,3323,3323,1808,256,3167,1221,280,117,264,124,374,222,1017,76,0.0352091483599157,0.0842612097502257,1.03125,0.0391537732870224,0.112548901594944,0.0668071020162504,0.0420353982300885,0.832923832923833,0,0,1,0,0,0,0,1,2,0
"36","06001403900","06","001","403900",3938,3938,3938,3938,2244,290,3678,1472,159,334,324,481,907,550,1194,166,0.0848146267140681,0.0403758252920264,1.11724137931034,0.130777596519848,0.230319959370239,0.139664804469274,0.0739750445632799,0.811141304347826,0,0,1,0,0,0,0,1,2,0
"37","06001404000","06","001","404000",2932,2932,2932,2932,1650,163,2804,1161,430,56,171,226,534,190,1028,131,0.0190995907230559,0.146657571623465,1.04907975460123,0.0805991440798859,0.182128240109141,0.0648021828103684,0.0793939393939394,0.885443583118002,0,0,1,0,0,0,0,1,2,0
"38","06001404101","06","001","404101",3187,3187,3183,3183,1679,279,2986,1018,216,276,302,100,487,310,824,289,0.0866018198933166,0.067775337307813,1.08243727598566,0.0334896182183523,0.153000314169023,0.097392397109645,0.172126265634306,0.80943025540275,0,0,1,0,0,0,1,1,3,0
"39","06001404102","06","001","404102",2438,2438,2307,2282,1515,104,2377,1261,218,457,132,197,392,396,1062,305,0.187448728465956,0.0894175553732568,1.26923076923077,0.0828775767774506,0.169917641959254,0.17353198948291,0.201320132013201,0.842188739095956,1,0,1,0,0,0,1,1,4,0
"40","06001404200","06","001","404200",3650,3650,3469,3650,1285,526,3413,283,181,231,554,154,229,280,256,32,0.0632876712328767,0.0495890410958904,1.0532319391635,0.0451215939056549,0.0660132603055636,0.0767123287671233,0.0249027237354086,0.904593639575972,0,0,1,0,0,0,0,1,2,0
"41","06001404300","06","001","404300",3329,3329,3329,3329,1252,409,3136,228,358,187,423,147,251,196,213,42,0.0561730249324121,0.107539801742265,1.03422982885086,0.046875,0.0753980174226494,0.0588765395013518,0.0335463258785942,0.934210526315789,0,0,1,0,0,0,0,1,2,0
"42","06001404400","06","001","404400",5404,5404,5386,5404,2317,637,5078,338,358,181,568,125,416,200,319,13,0.0334937083641747,0.0662472242783124,0.891679748822606,0.0246159905474596,0.0772372818418121,0.0370096225018505,0.00561070349589987,0.943786982248521,0,0,1,0,0,0,0,1,2,0
"43","06001404501","06","001","404501",1836,1836,1820,1836,679,234,1723,94,150,138,221,112,89,109,76,12,0.0751633986928105,0.0816993464052288,0.944444444444444,0.0650029019152641,0.0489010989010989,0.0593681917211329,0.0176730486008837,0.808510638297872,0,0,1,0,0,0,0,1,2,0
