GEOID,County,Census_Tract,Poverty_Rate ,Median_Family_Income
06007000502,Butte,Census Tract 5.02,59.2,22356
06007000604,Butte,Census Tract 6.04,61.1,17969
06007001000,Butte,Census Tract 10,36,34867
06007001100,Butte,Census Tract 11,50.8,41397
06007001200,Butte,Census Tract 12,39,38875
06007001300,Butte,Census Tract 13,44.6,31563
06007002800,Butte,Census Tract 28,37.1,33829
06007003001,Butte,Census Tract 30.01,44.3,33167
06007003002,Butte,Census Tract 30.02,37.1,39617
06009000400,Calaveras,Census Tract 4,25,47763
06011000300,Colusa,Census Tract 3,13.8,55862
06011000500,Colusa,Census Tract 5,16.8,50613
06013306002,Contra Costa,Census Tract 3060.02,10.2,69421
06013307201,Contra Costa,Census Tract 3072.01,20.7,44398
06013307202,Contra Costa,Census Tract 3072.02,33.9,26563
06013307205,Contra Costa,Census Tract 3072.05,18.8,61063
06013312000,Contra Costa,Census Tract 3120,37.1,38026
06013313101,Contra Costa,Census Tract 3131.01,28.3,47026
06013313206,Contra Costa,Census Tract 3132.06,27.2,55154
06013314103,Contra Costa,Census Tract 3141.03,32.1,40539
06013314104,Contra Costa,Census Tract 3141.04,30.2,41510
06013328000,Contra Costa,Census Tract 3280,23.5,44432
06013336101,Contra Costa,Census Tract 3361.01,27.1,40143
06013336202,Contra Costa,Census Tract 3362.02,37.1,31542
06013337200,Contra Costa,Census Tract 3372,10.9,72633
06013365002,Contra Costa,Census Tract 3650.02,33.9,40118
06013369001,Contra Costa,Census Tract 3690.01,35.1,37090
06013376000,Contra Costa,Census Tract 3760,34.2,37500
06013386000,Contra Costa,Census Tract 3860,18.6,66094
06015000101,Del Norte,Census Tract 1.01,31.6,27994
06015000102,Del Norte,Census Tract 1.02,25.3,53901
06017030302,El Dorado,Census Tract 303.02,24.6,34938
06017031600,El Dorado,Census Tract 316,23.5,33496
06017031900,El Dorado,Census Tract 319,22.6,74750
06019000100,Fresno,Census Tract 1,67.3,(X)
06019000200,Fresno,Census Tract 2,56.4,20000
06019000300,Fresno,Census Tract 3,56,33212
06019000400,Fresno,Census Tract 4,50.4,25881
06019000501,Fresno,Census Tract 5.01,51.4,20726
06019000502,Fresno,Census Tract 5.02,39.2,29155
06019000600,Fresno,Census Tract 6,65.4,16500
06019000700,Fresno,Census Tract 7,39.9,29875
06019000800,Fresno,Census Tract 8,50.8,24489
06019000901,Fresno,Census Tract 9.01,45,27551
06019000902,Fresno,Census Tract 9.02,61.4,22083
06019001000,Fresno,Census Tract 10,44,25601
06019001100,Fresno,Census Tract 11,45.3,30565
06019001201,Fresno,Census Tract 12.01,49.6,25000
06019001202,Fresno,Census Tract 12.02,36.7,27781
06019001301,Fresno,Census Tract 13.01,50.1,27256
06019001303,Fresno,Census Tract 13.03,40.9,29500
06019001407,Fresno,Census Tract 14.07,52.7,17327
06019001410,Fresno,Census Tract 14.10,22.8,50951
06019001411,Fresno,Census Tract 14.11,28.5,42377
06019001500,Fresno,Census Tract 15,36.9,38514
06019001700,Fresno,Census Tract 17,29,50500
06019001800,Fresno,Census Tract 18,17.8,53926
06019001900,Fresno,Census Tract 19,24.1,52760
06019002000,Fresno,Census Tract 20,48,21657
06019002300,Fresno,Census Tract 23,38.4,34832
06019002400,Fresno,Census Tract 24,47.2,28371
06019002501,Fresno,Census Tract 25.01,57.3,19923
06019002602,Fresno,Census Tract 26.02,26.8,31348
06019002702,Fresno,Census Tract 27.02,49.8,25362
06019002800,Fresno,Census Tract 28,53.9,22197
06019002903,Fresno,Census Tract 29.03,51.9,24398
06019003500,Fresno,Census Tract 35,39,47384
06019004505,Fresno,Census Tract 45.05,38.2,29557
06019004901,Fresno,Census Tract 49.01,38.8,27478
06019005000,Fresno,Census Tract 50,33.7,37941
06019005100,Fresno,Census Tract 51,35.2,33171
06019005403,Fresno,Census Tract 54.03,53.1,21212
06019005408,Fresno,Census Tract 54.08,72.3,8510
06019006201,Fresno,Census Tract 62.01,32.8,31797
06019006202,Fresno,Census Tract 62.02,28.7,41901
06019006501,Fresno,Census Tract 65.01,51.7,23922
06019006602,Fresno,Census Tract 66.02,45.9,28472
06019007802,Fresno,Census Tract 78.02,46.7,20316
06019008200,Fresno,Census Tract 82,44.5,27089
06019008302,Fresno,Census Tract 83.02,51.7,26719
06019008501,Fresno,Census Tract 85.01,58.7,25439
06021010100,Glenn,Census Tract 101,27.2,39384
06021010200,Glenn,Census Tract 102,22.2,55250
06023000100,Humboldt,Census Tract 1,33,37647
06023000300,Humboldt,Census Tract 3,34.8,44087
06023000500,Humboldt,Census Tract 5,29.4,31034
06023001300,Humboldt,Census Tract 13,24.3,43750
06023010102,Humboldt,Census Tract 101.02,35.8,49605
06023010501,Humboldt,Census Tract 105.01,15.5,50471
06023940000,Humboldt,Census Tract 9400,35.9,38125
06025010400,Imperial,Census Tract 104,37.6,28788
06025010900,Imperial,Census Tract 109,36.3,29450
06025011300,Imperial,Census Tract 113,16.4,45330
06025011400,Imperial,Census Tract 114,30.5,31577
06025011900,Imperial,Census Tract 119,17.1,46810
06025012100,Imperial,Census Tract 121,50.4,25159
06025012200,Imperial,Census Tract 122,29.8,36273
06027000400,Inyo,Census Tract 4,16.4,45938
06027000800,Inyo,Census Tract 8,15.9,41900
06029000200,Kern,Census Tract 2,47.7,25815
06029000300,Kern,Census Tract 3,42.7,26897
06029000400,Kern,Census Tract 4,45.3,24158
06029000600,Kern,Census Tract 6,47.4,22230
06029001202,Kern,Census Tract 12.02,59.7,22045
06029001400,Kern,Census Tract 14,60.2,23189
06029001600,Kern,Census Tract 16,32.5,30547
06029001902,Kern,Census Tract 19.02,36.4,29665
06029002000,Kern,Census Tract 20,44.6,26470
06029002100,Kern,Census Tract 21,51.4,23286
06029002200,Kern,Census Tract 22,59,21535
06029002301,Kern,Census Tract 23.01,34.9,27297
06029002302,Kern,Census Tract 23.02,40,30962
06029002400,Kern,Census Tract 24,25.8,38235
06029002500,Kern,Census Tract 25,46.3,28161
06029002600,Kern,Census Tract 26,29.5,35703
06029003103,Kern,Census Tract 31.03,25.6,34981
06029003121,Kern,Census Tract 31.21,33,37893
06029003303,Kern,Census Tract 33.03,34,44615
06029003500,Kern,Census Tract 35,21.2,50266
06029004101,Kern,Census Tract 41.01,22.6,49826
06029004401,Kern,Census Tract 44.01,23.6,47748
06029004402,Kern,Census Tract 44.02,57.1,22252
06029004701,Kern,Census Tract 47.01,41.2,33042
06029004800,Kern,Census Tract 48,50.2,25908
06029005003,Kern,Census Tract 50.03,37,28919
06029005300,Kern,Census Tract 53,33.5,30938
06029005507,Kern,Census Tract 55.07,20.2,62346
06029005600,Kern,Census Tract 56,33.4,38859
06029005802,Kern,Census Tract 58.02,29.8,49167
06029005900,Kern,Census Tract 59,32.2,42056
06029006100,Kern,Census Tract 61,23.1,56940
06029006303,Kern,Census Tract 63.03,33.1,32539
06029006304,Kern,Census Tract 63.04,35.7,25087
06029006401,Kern,Census Tract 64.01,39.3,29659
06031001100,Kings,Census Tract 11,36.5,31284
06031001300,Kings,Census Tract 13,48.1,21750
06031001402,Kings,Census Tract 14.02,51.9,25804
06031001601,Kings,Census Tract 16.01,36.4,33125
06031001701,Kings,Census Tract 17.01,36.4,32743
06033000702,Lake,Census Tract 7.02,38.4,30271
06033000801,Lake,Census Tract 8.01,47.5,22239
06033000802,Lake,Census Tract 8.02,43.8,26387
06035040303,Lassen,Census Tract 403.03,31.5,64632
06035040304,Lassen,Census Tract 403.04,29.1,41406
06037102105,Los Angeles,Census Tract 1021.05,17.7,37308
06037104201,Los Angeles,Census Tract 1042.01,23.1,46193
06037104203,Los Angeles,Census Tract 1042.03,22.4,46034
06037104310,Los Angeles,Census Tract 1043.10,21.5,46809
06037104320,Los Angeles,Census Tract 1043.20,20.5,44594
06037104404,Los Angeles,Census Tract 1044.04,23.7,34769
06037104701,Los Angeles,Census Tract 1047.01,41.3,26431
06037104703,Los Angeles,Census Tract 1047.03,32.8,38750
06037104704,Los Angeles,Census Tract 1047.04,24.6,42742
06037106520,Los Angeles,Census Tract 1065.20,21.3,62788
06037106604,Los Angeles,Census Tract 1066.04,26.3,55660
06037113233,Los Angeles,Census Tract 1132.33,21.2,42383
06037113234,Los Angeles,Census Tract 1132.34,25.5,50233
06037113421,Los Angeles,Census Tract 1134.21,25.4,45500
06037115103,Los Angeles,Census Tract 1151.03,65.7,(X)
06037115201,Los Angeles,Census Tract 1152.01,23.2,62717
06037120010,Los Angeles,Census Tract 1200.10,19.8,45463
06037120020,Los Angeles,Census Tract 1200.20,21,32464
06037120030,Los Angeles,Census Tract 1200.30,46.5,25651
06037120103,Los Angeles,Census Tract 1201.03,51.8,20893
06037121101,Los Angeles,Census Tract 1211.01,27.4,41797
06037121801,Los Angeles,Census Tract 1218.01,27.3,36536
06037121900,Los Angeles,Census Tract 1219,17.5,53789
06037122120,Los Angeles,Census Tract 1221.20,15,52057
06037122121,Los Angeles,Census Tract 1221.21,20.7,44118
06037122122,Los Angeles,Census Tract 1221.22,23.7,34674
06037122200,Los Angeles,Census Tract 1222,9.8,56991
06037122410,Los Angeles,Census Tract 1224.10,34.1,29013
06037123020,Los Angeles,Census Tract 1230.20,21.1,58143
06037123103,Los Angeles,Census Tract 1231.03,16.7,45203
06037123203,Los Angeles,Census Tract 1232.03,32.4,33594
06037123205,Los Angeles,Census Tract 1232.05,24.6,36875
06037123206,Los Angeles,Census Tract 1232.06,32.4,35373
06037123303,Los Angeles,Census Tract 1233.03,23.5,39722
06037123420,Los Angeles,Census Tract 1234.20,27.1,41090
06037123901,Los Angeles,Census Tract 1239.01,18.7,52000
06037124102,Los Angeles,Census Tract 1241.02,20.9,41373
06037124103,Los Angeles,Census Tract 1241.03,33.4,32500
06037124104,Los Angeles,Census Tract 1241.04,28.3,40208
06037124105,Los Angeles,Census Tract 1241.05,35.4,36417
06037124204,Los Angeles,Census Tract 1242.04,33.8,37153
06037125310,Los Angeles,Census Tract 1253.10,27.2,45862
06037125320,Los Angeles,Census Tract 1253.20,29.7,38519
06037127210,Los Angeles,Census Tract 1272.10,20.1,48071
06037127300,Los Angeles,Census Tract 1273,20.4,49475
06037127400,Los Angeles,Census Tract 1274,32.1,32723
06037127520,Los Angeles,Census Tract 1275.20,35.6,30069
06037127712,Los Angeles,Census Tract 1277.12,28.1,36756
06037127803,Los Angeles,Census Tract 1278.03,23.6,41607
06037127804,Los Angeles,Census Tract 1278.04,19.2,41458
06037127805,Los Angeles,Census Tract 1278.05,29,40060
06037127806,Los Angeles,Census Tract 1278.06,24.6,29750
06037127910,Los Angeles,Census Tract 1279.10,28.7,36208
06037128210,Los Angeles,Census Tract 1282.10,40.3,26663
06037128302,Los Angeles,Census Tract 1283.02,33.2,33654
06037128303,Los Angeles,Census Tract 1283.03,45.4,21906
06037132300,Los Angeles,Census Tract 1323,28.4,41012
06037134305,Los Angeles,Census Tract 1343.05,34.1,37296
06037134520,Los Angeles,Census Tract 1345.20,24.7,40183
06037134521,Los Angeles,Census Tract 1345.21,27.4,35655
06037134522,Los Angeles,Census Tract 1345.22,21.1,34909
06037134903,Los Angeles,Census Tract 1349.03,16.3,43233
06037135114,Los Angeles,Census Tract 1351.14,18.6,72257
06037185203,Los Angeles,Census Tract 1852.03,18.6,45893
06037185320,Los Angeles,Census Tract 1853.20,22.4,36196
06037186401,Los Angeles,Census Tract 1864.01,31.6,31017
06037186404,Los Angeles,Census Tract 1864.04,25.3,45882
06037187102,Los Angeles,Census Tract 1871.02,11.8,52813
06037187200,Los Angeles,Census Tract 1872,23.3,42610
06037190100,Los Angeles,Census Tract 1901,23.2,49816
06037190201,Los Angeles,Census Tract 1902.01,38.7,(X)
06037190202,Los Angeles,Census Tract 1902.02,37,66813
06037190510,Los Angeles,Census Tract 1905.10,33.2,36394
06037190700,Los Angeles,Census Tract 1907,26.3,52275
06037190801,Los Angeles,Census Tract 1908.01,39.5,19386
06037190802,Los Angeles,Census Tract 1908.02,22.8,55053
06037190901,Los Angeles,Census Tract 1909.01,35.8,30652
06037190902,Los Angeles,Census Tract 1909.02,30,31146
06037191000,Los Angeles,Census Tract 1910,23.6,33897
06037191110,Los Angeles,Census Tract 1911.10,22,33724
06037191120,Los Angeles,Census Tract 1911.20,29.1,31587
06037191201,Los Angeles,Census Tract 1912.01,30.9,27969
06037191203,Los Angeles,Census Tract 1912.03,29.8,26250
06037191204,Los Angeles,Census Tract 1912.04,15.8,39688
06037191410,Los Angeles,Census Tract 1914.10,36.3,31935
06037191420,Los Angeles,Census Tract 1914.20,29.9,32276
06037191500,Los Angeles,Census Tract 1915,29.8,40586
06037191710,Los Angeles,Census Tract 1917.10,38.4,21853
06037191720,Los Angeles,Census Tract 1917.20,41.1,31087
06037191810,Los Angeles,Census Tract 1918.10,32.1,31875
06037191820,Los Angeles,Census Tract 1918.20,17.6,46833
06037192610,Los Angeles,Census Tract 1926.10,29.6,30972
06037192620,Los Angeles,Census Tract 1926.20,29.2,34615
06037192700,Los Angeles,Census Tract 1927,33,37829
06037199000,Los Angeles,Census Tract 1990,32.5,34804
06037199120,Los Angeles,Census Tract 1991.20,48.3,26682
06037199201,Los Angeles,Census Tract 1992.01,28.2,42298
06037199202,Los Angeles,Census Tract 1992.02,23.6,44464
06037199700,Los Angeles,Census Tract 1997,35.4,30436
06037199800,Los Angeles,Census Tract 1998,30.1,34758
06037199900,Los Angeles,Census Tract 1999,36.6,30000
06037201402,Los Angeles,Census Tract 2014.02,13.8,55441
06037201700,Los Angeles,Census Tract 2017,26.5,58839
06037203300,Los Angeles,Census Tract 2033,33.7,30357
06037203500,Los Angeles,Census Tract 2035,30.8,36667
06037204920,Los Angeles,Census Tract 2049.20,33.7,33304
06037205120,Los Angeles,Census Tract 2051.20,36.9,26786
06037206020,Los Angeles,Census Tract 2060.20,11.8,85000
06037206031,Los Angeles,Census Tract 2060.31,12.5,103750
06037206032,Los Angeles,Census Tract 2060.32,35.8,26742
06037206200,Los Angeles,Census Tract 2062,45.2,27092
06037206300,Los Angeles,Census Tract 2063,80.7,-
06037208801,Los Angeles,Census Tract 2088.01,35.3,25768
06037208902,Los Angeles,Census Tract 2089.02,47.7,20815
06037208903,Los Angeles,Census Tract 2089.03,41.6,25959
06037209401,Los Angeles,Census Tract 2094.01,47.8,23371
06037211120,Los Angeles,Census Tract 2111.20,20.3,40000
06037211122,Los Angeles,Census Tract 2111.22,27.3,41823
06037211201,Los Angeles,Census Tract 2112.01,26.5,30152
06037211202,Los Angeles,Census Tract 2112.02,30.3,33875
06037211310,Los Angeles,Census Tract 2113.10,34.9,31319
06037211320,Los Angeles,Census Tract 2113.20,23.1,29880
06037211802,Los Angeles,Census Tract 2118.02,20,38179
06037212101,Los Angeles,Census Tract 2121.01,25.4,36919
06037212102,Los Angeles,Census Tract 2121.02,31.6,28291
06037212203,Los Angeles,Census Tract 2122.03,47,21462
06037212204,Los Angeles,Census Tract 2122.04,43.2,24503
06037212303,Los Angeles,Census Tract 2123.03,43.3,18886
06037212304,Los Angeles,Census Tract 2123.04,34.7,26172
06037212410,Los Angeles,Census Tract 2124.10,20.3,41552
06037213201,Los Angeles,Census Tract 2132.01,27.5,30804
06037213310,Los Angeles,Census Tract 2133.10,24,35846
06037213320,Los Angeles,Census Tract 2133.20,23.3,35897
06037213402,Los Angeles,Census Tract 2134.02,31.6,30262
06037218300,Los Angeles,Census Tract 2183,22.2,40275
06037218400,Los Angeles,Census Tract 2184,28.4,35592
06037218500,Los Angeles,Census Tract 2185,28.6,52656
06037218702,Los Angeles,Census Tract 2187.02,29.7,41292
06037219300,Los Angeles,Census Tract 2193,28.4,27958
06037219800,Los Angeles,Census Tract 2198,34.6,32425
06037219901,Los Angeles,Census Tract 2199.01,37.9,29667
06037219902,Los Angeles,Census Tract 2199.02,18.5,38100
06037220000,Los Angeles,Census Tract 2200,25.1,45450
06037220100,Los Angeles,Census Tract 2201,27.7,(X)
06037222700,Los Angeles,Census Tract 2227,88.3,-
06037224010,Los Angeles,Census Tract 2240.10,47.5,18878
06037224020,Los Angeles,Census Tract 2240.20,44.6,21731
06037224200,Los Angeles,Census Tract 2242,32.6,28162
06037224600,Los Angeles,Census Tract 2246,47,22500
06037224700,Los Angeles,Census Tract 2247,81.3,14099
06037226001,Los Angeles,Census Tract 2260.01,34.3,37632
06037226002,Los Angeles,Census Tract 2260.02,39.4,31484
06037226410,Los Angeles,Census Tract 2264.10,44.8,36233
06037226420,Los Angeles,Census Tract 2264.20,36.6,25371
06037227010,Los Angeles,Census Tract 2270.10,38.1,32813
06037228600,Los Angeles,Census Tract 2286,50.5,21375
06037231100,Los Angeles,Census Tract 2311,54.2,26859
06037231210,Los Angeles,Census Tract 2312.10,31.7,24929
06037231220,Los Angeles,Census Tract 2312.20,42.6,30273
06037231300,Los Angeles,Census Tract 2313,43.5,25849
06037231400,Los Angeles,Census Tract 2314,23.6,36168
06037231500,Los Angeles,Census Tract 2315,16.2,47216
06037231600,Los Angeles,Census Tract 2316,31.8,40350
06037231800,Los Angeles,Census Tract 2318,52.2,20974
06037232400,Los Angeles,Census Tract 2324,26,37612
06037232500,Los Angeles,Census Tract 2325,34,36071
06037234501,Los Angeles,Census Tract 2345.01,19.7,48576
06037234502,Los Angeles,Census Tract 2345.02,26.6,35379
06037234600,Los Angeles,Census Tract 2346,28,42270
06037236100,Los Angeles,Census Tract 2361,30,35884
06037237202,Los Angeles,Census Tract 2372.02,21.2,44526
06037239202,Los Angeles,Census Tract 2392.02,29.4,36086
06037239330,Los Angeles,Census Tract 2393.30,35.4,35030
06037241001,Los Angeles,Census Tract 2410.01,47,36607
06037242000,Los Angeles,Census Tract 2420,40.3,33438
06037242100,Los Angeles,Census Tract 2421,69.9,16250
06037242200,Los Angeles,Census Tract 2422,42.1,31515
06037242300,Los Angeles,Census Tract 2423,37.3,33873
06037242600,Los Angeles,Census Tract 2426,67.5,12641
06037243000,Los Angeles,Census Tract 2430,34,40117
06037243100,Los Angeles,Census Tract 2431,50,25061
06037292000,Los Angeles,Census Tract 2920,34.2,37361
06037293201,Los Angeles,Census Tract 2932.01,10.6,58750
06037294120,Los Angeles,Census Tract 2941.20,20.7,46556
06037294620,Los Angeles,Census Tract 2946.20,24.2,38973
06037294701,Los Angeles,Census Tract 2947.01,35.5,34868
06037294820,Los Angeles,Census Tract 2948.20,39.2,31042
06037294830,Los Angeles,Census Tract 2948.30,40.3,30281
06037296210,Los Angeles,Census Tract 2962.10,34,28292
06037296220,Los Angeles,Census Tract 2962.20,46.9,25670
06037296500,Los Angeles,Census Tract 2965,29.4,39583
06037296600,Los Angeles,Census Tract 2966,32.9,33267
06037402304,Los Angeles,Census Tract 4023.04,35.9,34104
06037402702,Los Angeles,Census Tract 4027.02,44.6,31513
06037403200,Los Angeles,Census Tract 4032,63.2,-
06037404201,Los Angeles,Census Tract 4042.01,36.1,37353
06037408138,Los Angeles,Census Tract 4081.38,34.1,40038
06037408800,Los Angeles,Census Tract 4088,35.9,38017
06037433302,Los Angeles,Census Tract 4333.02,37.4,27389
06037433403,Los Angeles,Census Tract 4334.03,38.3,34148
06037433501,Los Angeles,Census Tract 4335.01,40,30078
06037433901,Los Angeles,Census Tract 4339.01,36.9,32019
06037501803,Los Angeles,Census Tract 5018.03,37.1,30278
06037530902,Los Angeles,Census Tract 5309.02,35.5,30859
06037531301,Los Angeles,Census Tract 5313.01,37,32635
06037532304,Los Angeles,Census Tract 5323.04,23.6,50134
06037532606,Los Angeles,Census Tract 5326.06,34.7,29688
06037532800,Los Angeles,Census Tract 5328,35,30046
06037532900,Los Angeles,Census Tract 5329,38.6,29541
06037533103,Los Angeles,Census Tract 5331.03,38.2,30030
06037533104,Los Angeles,Census Tract 5331.04,40.8,25202
06037533105,Los Angeles,Census Tract 5331.05,37.1,27045
06037533403,Los Angeles,Census Tract 5334.03,35.4,35787
06037533701,Los Angeles,Census Tract 5337.01,35.9,34044
06037534202,Los Angeles,Census Tract 5342.02,35.4,31351
06037534301,Los Angeles,Census Tract 5343.01,45,31464
06037534404,Los Angeles,Census Tract 5344.04,35.3,27408
06037535002,Los Angeles,Census Tract 5350.02,38,31989
06037535101,Los Angeles,Census Tract 5351.01,34.5,35707
06037535102,Los Angeles,Census Tract 5351.02,39.1,39181
06037540201,Los Angeles,Census Tract 5402.01,43.2,25958
06037540202,Los Angeles,Census Tract 5402.02,36.1,28434
06037540400,Los Angeles,Census Tract 5404,35.7,38178
06037541400,Los Angeles,Census Tract 5414,34.9,37773
06037541603,Los Angeles,Census Tract 5416.03,41.7,28750
06037541604,Los Angeles,Census Tract 5416.04,42.4,28385
06037542105,Los Angeles,Census Tract 5421.05,35,46075
06037542106,Los Angeles,Census Tract 5421.06,31.1,35096
06037542501,Los Angeles,Census Tract 5425.01,34.9,42731
06037542502,Los Angeles,Census Tract 5425.02,39,40186
06037542601,Los Angeles,Census Tract 5426.01,35.4,33864
06037550000,Los Angeles,Census Tract 5500,48.2,76250
06037570603,Los Angeles,Census Tract 5706.03,35.2,28081
06037571600,Los Angeles,Census Tract 5716,68.6,15625
06037571704,Los Angeles,Census Tract 5717.04,36.9,43359
06037572500,Los Angeles,Census Tract 5725,38.2,29954
06037572800,Los Angeles,Census Tract 5728,54.8,27604
06037573002,Los Angeles,Census Tract 5730.02,46.8,25493
06037573004,Los Angeles,Census Tract 5730.04,35.8,31588
06037573300,Los Angeles,Census Tract 5733,38.2,29750
06037575102,Los Angeles,Census Tract 5751.02,40.9,25179
06037575202,Los Angeles,Census Tract 5752.02,35.2,34653
06037575401,Los Angeles,Census Tract 5754.01,40.2,30299
06037575801,Los Angeles,Census Tract 5758.01,46.3,26875
06037575802,Los Angeles,Census Tract 5758.02,40,31406
06037575803,Los Angeles,Census Tract 5758.03,41.4,30988
06037575901,Los Angeles,Census Tract 5759.01,39.6,41339
06037576200,Los Angeles,Census Tract 5762,38.3,30417
06037576401,Los Angeles,Census Tract 5764.01,48.1,27222
06037576403,Los Angeles,Census Tract 5764.03,35,30110
06037576901,Los Angeles,Census Tract 5769.01,41.7,27500
06037600100,Los Angeles,Census Tract 6001,46,24236
06037600202,Los Angeles,Census Tract 6002.02,38.8,28036
06037600303,Los Angeles,Census Tract 6003.03,39.2,36875
06037600304,Los Angeles,Census Tract 6003.04,43.7,27128
06037601202,Los Angeles,Census Tract 6012.02,27.4,43165
06037601700,Los Angeles,Census Tract 6017,40.2,36806
06037601801,Los Angeles,Census Tract 6018.01,37.2,32344
06037602505,Los Angeles,Census Tract 6025.05,40.5,27773
06037602801,Los Angeles,Census Tract 6028.01,34.4,27386
06037604100,Los Angeles,Census Tract 6041,21.7,48017
06037900501,Los Angeles,Census Tract 9005.01,23.6,38455
06037900606,Los Angeles,Census Tract 9006.06,39.7,37641
06037900607,Los Angeles,Census Tract 9006.07,54,25208
06037900703,Los Angeles,Census Tract 9007.03,37.8,30761
06037900704,Los Angeles,Census Tract 9007.04,31.8,33969
06037900806,Los Angeles,Census Tract 9008.06,37.6,30539
06037910402,Los Angeles,Census Tract 9104.02,48.3,28750
06037910403,Los Angeles,Census Tract 9104.03,67,15952
06037910501,Los Angeles,Census Tract 9105.01,68.4,13495
06037910504,Los Angeles,Census Tract 9105.04,39.4,35167
06037910601,Los Angeles,Census Tract 9106.01,34.1,31852
06037910602,Los Angeles,Census Tract 9106.02,41.9,30000
06037980014,Los Angeles,Census Tract 9800.14,45.7,-
06039000103,Madera,Census Tract 1.03,25,61667
06039000202,Madera,Census Tract 2.02,17.2,60542
06039000503,Madera,Census Tract 5.03,9.4,62463
06039000506,Madera,Census Tract 5.06,17.1,55270
06039000800,Madera,Census Tract 8,38.5,28165
06041112201,Marin,Census Tract 1122.01,35.6,28620
06043000101,Mariposa,Census Tract 1.01,23.5,49583
06043000102,Mariposa,Census Tract 1.02,17.7,54885
06045010100,Mendocino,Census Tract 101,31.1,33750
06045011300,Mendocino,Census Tract 113,32,45417
06045011500,Mendocino,Census Tract 115,31.5,50398
06047000503,Merced,Census Tract 5.03,23,61250
06047000602,Merced,Census Tract 6.02,37.8,36611
06047000603,Merced,Census Tract 6.03,36.3,36310
06047001301,Merced,Census Tract 13.01,34.8,35000
06047001302,Merced,Census Tract 13.02,47.1,26957
06047001401,Merced,Census Tract 14.01,35.4,30467
06047001501,Merced,Census Tract 15.01,36.7,45978
06047001601,Merced,Census Tract 16.01,64.5,21350
06047001602,Merced,Census Tract 16.02,35,32091
06047001700,Merced,Census Tract 17,40.2,29392
06047002201,Merced,Census Tract 22.01,42.3,27228
06049000100,Modoc,Census Tract 1,23.2,49787
06049000300,Modoc,Census Tract 3,17.4,45926
06053000400,Monterey,Census Tract 4,29.6,43698
06053000502,Monterey,Census Tract 5.02,16.3,48160
06053001300,Monterey,Census Tract 13,46,23992
06053001802,Monterey,Census Tract 18.02,23.7,56925
06053011302,Monterey,Census Tract 113.02,31.9,32750
06053013500,Monterey,Census Tract 135,30.9,52316
06053013700,Monterey,Census Tract 137,31.7,42232
06053014102,Monterey,Census Tract 141.02,32.3,41429
06053014500,Monterey,Census Tract 145,14.4,53051
06055200202,Napa,Census Tract 2002.02,15.8,51859
