"","state","county","tract","B25064_001E","B19013_001E","B25003_001E","B25003_002E","B25003_003E","B25003A_001E","B25003A_002E","B25003A_003E","B25003B_001E","B25003B_002E","B25003B_003E","B25003C_001E","B25003C_002E","B25003C_003E","B25003D_001E","B25003D_002E","B25003D_003E","B25003E_001E","B25003E_002E","B25003E_003E","B25003F_001E","B25003F_002E","B25003F_003E","B25003G_001E","B25003G_002E","B25003G_003E","B25003H_001E","B25003H_002E","B25003H_003E","B25003I_001E","B25003I_002E","B25003I_003E"
"82","06","001","407700",2016,70938,1646,1141,505,649,533,116,806,439,367,0,0,0,73,73,0,0,0,0,62,40,22,56,56,0,572,456,116,149,114,35
"83","06","001","407800",1048,80368,759,506,253,268,211,57,344,212,132,0,0,0,77,52,25,0,0,0,28,12,16,42,19,23,242,189,53,66,34,32
"84","06","001","407900",1632,100927,1113,845,268,637,499,138,229,145,84,0,0,0,151,151,0,0,0,0,38,10,28,58,40,18,573,435,138,111,73,38
"85","06","001","408000",3159,158917,970,833,137,618,536,82,146,105,41,5,0,5,163,154,9,0,0,0,14,14,0,24,24,0,591,519,72,44,34,10
"86","06","001","408100",1806,103670,2662,2172,490,1224,1112,112,693,420,273,34,34,0,467,449,18,0,0,0,70,38,32,174,119,55,1125,1031,94,231,137,94
"87","06","001","408200",1199,51135,1703,698,1005,492,308,184,940,231,709,33,17,16,74,49,25,17,17,0,78,30,48,69,46,23,396,243,153,214,103,111
"88","06","001","408300",1079,81695,1762,1102,660,574,466,108,843,433,410,0,0,0,103,56,47,8,8,0,155,70,85,79,69,10,558,455,103,157,67,90
"89","06","001","408400",1222,30213,1086,420,666,309,182,127,557,183,374,16,0,16,0,0,0,6,0,6,170,55,115,28,0,28,172,106,66,312,131,181
"90","06","001","408500",1291,47841,1617,519,1098,150,42,108,803,286,517,17,0,17,24,16,8,21,0,21,571,151,420,31,24,7,28,28,0,710,185,525
"91","06","001","408600",1142,30696,1811,691,1120,427,169,258,834,291,543,37,12,25,42,39,3,0,0,0,403,150,253,68,30,38,142,73,69,720,258,462
"92","06","001","408700",1272,43649,2325,782,1543,496,234,262,1285,374,911,0,0,0,63,44,19,0,0,0,322,66,256,159,64,95,131,98,33,813,258,555
"93","06","001","408800",769,23598,1950,343,1607,267,74,193,879,147,732,15,0,15,152,16,136,57,0,57,481,106,375,99,0,99,50,0,50,731,180,551
"94","06","001","408900",1095,26379,944,280,664,233,66,167,409,111,298,3,3,0,37,27,10,0,0,0,247,67,180,15,6,9,29,11,18,466,128,338
"95","06","001","409000",1442,44125,1038,505,533,210,94,116,463,276,187,29,29,0,42,42,0,5,0,5,250,49,201,39,15,24,37,26,11,460,146,314
"96","06","001","409100",1550,40000,634,394,240,81,57,24,371,198,173,0,0,0,26,23,3,17,17,0,108,95,13,31,4,27,7,7,0,211,150,61
"97","06","001","409200",1301,46250,923,460,463,144,42,102,429,255,174,34,18,16,38,12,26,0,0,0,237,101,136,41,32,9,56,16,40,352,149,203
"98","06","001","409300",1201,34830,1553,677,876,381,182,199,586,278,308,7,0,7,27,27,0,0,0,0,475,179,296,77,11,66,122,38,84,776,331,445
"99","06","001","409400",1301,39189,1230,458,772,300,124,176,399,152,247,0,0,0,112,51,61,0,0,0,399,111,288,20,20,0,103,41,62,610,208,402
"100","06","001","409500",1134,31682,1117,309,808,231,84,147,513,171,342,7,0,7,12,0,12,0,0,0,324,54,270,30,0,30,58,19,39,530,127,403
"101","06","001","409600",1138,37349,1382,491,891,243,83,160,618,268,350,0,0,0,51,33,18,0,0,0,447,97,350,23,10,13,27,0,27,657,180,477
"102","06","001","409700",1290,38357,1524,552,972,316,152,164,791,265,526,4,0,4,72,36,36,15,0,15,296,99,197,30,0,30,52,13,39,580,238,342
"103","06","001","409800",986,63598,1255,651,604,185,93,92,805,458,347,0,0,0,85,55,30,0,0,0,93,25,68,87,20,67,176,93,83,77,35,42
"104","06","001","409900",1446,97689,1383,1201,182,464,402,62,689,598,91,0,0,0,102,90,12,0,0,0,49,32,17,79,79,0,408,352,56,105,82,23
"105","06","001","410000",1674,107083,1197,1128,69,540,527,13,498,465,33,0,0,0,64,54,10,0,0,0,2,2,0,93,80,13,505,492,13,37,37,0
"106","06","001","410100",1019,59239,992,565,427,218,151,67,650,332,318,0,0,0,34,23,11,0,0,0,20,20,0,70,39,31,129,85,44,138,99,39
"107","06","001","410200",1062,49200,1146,491,655,269,88,181,615,203,412,0,0,0,46,46,0,12,12,0,186,124,62,18,18,0,152,58,94,313,164,149
"108","06","001","410300",1216,39524,946,324,622,169,64,105,395,181,214,14,7,7,15,15,0,22,9,13,288,48,240,43,0,43,17,9,8,460,103,357
"109","06","001","410400",1414,66555,1397,881,516,347,221,126,717,432,285,0,0,0,140,107,33,0,0,0,160,88,72,33,33,0,110,76,34,401,237,164
"110","06","001","410500",599,22596,961,86,875,81,20,61,686,38,648,0,0,0,127,14,113,15,0,15,35,7,28,17,7,10,70,20,50,53,0,53
"111","06","001","420100",2065,120208,870,564,306,629,404,225,19,6,13,0,0,0,157,124,33,0,0,0,35,12,23,30,18,12,614,404,210,39,0,39
"112","06","001","420200",1561,89194,1240,519,721,775,331,444,87,56,31,5,0,5,302,123,179,11,0,11,40,9,31,20,0,20,768,331,437,47,9,38
"113","06","001","420300",1542,86417,1955,961,994,1030,539,491,98,63,35,0,0,0,645,319,326,75,0,75,84,17,67,23,23,0,1015,524,491,99,32,67
"114","06","001","420400",1700,42054,1177,0,1177,521,0,521,45,0,45,42,0,42,417,0,417,19,0,19,80,0,80,53,0,53,384,0,384,280,0,280
